	カテゴリ	温泉			サブカテ	別府全土																																											
	path	spa			subpath	beppuall																																											
																																																	
																																																	
				↓時間帯は、機械検索しますので、入力書式を規定しています。詳細は表紙をご覧ください。																																													
					↓価格情報も、本来は時間帯と同様、機械検索できるように、専用の属性にしたほうがよいと思いますが、ひとまずtextにしています。																																												
共通属性	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															営業形態	温泉郷	家族(貸切)湯	泉質	最寄りバス停	最寄駅から	手ぶらＯＫ	シャワーあり	ドライヤーあり	etc														
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															optype	spaplace	familyspa	nature	nearbusstop	fromstation	freehand	shawaa	dry	etc														
(属性)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text	text	bool	bool	bool	bool														
	竹瓦温泉	23-1585	元町16-23	6:30-22:30|砂湯(受付)=8:00-21:30	100円、砂湯1030円	33.2774691	131.5060053		なし	small_onsen.jpg																市営温泉	別府		炭酸水素塩泉	流川ゆめタウン前 2分	別府駅10分																		
	北浜温泉(テルマス)	24-4126	京町11-1	受付=10:00-21:00	510円	33.28602	131.505115	木曜日	70台	small_onsen.jpg																市営温泉	別府		単純泉、塩化物泉	的ヶ浜公園 2分	別府駅17分																		
	海門寺温泉	22-3625	北浜2丁目2-5	6:30-22:30	100円	33.2805288	131.5032823		3台	small_onsen.jpg																市営温泉	別府		炭酸水素塩泉	駅前本町 4分	別府駅5分																		
	不老泉	21-0253	中央町7-16	6:30-22:30	100円	33.2771521	131.500396		6台	small_onsen.jpg																市営温泉	別府		単純泉	流川6丁目 3分	別府駅3分																		
	田の湯温泉	21-1381	田の湯町4-23	6:30-22:30	100円	33.2779401	131.4981709		なし	small_onsen.jpg																市営温泉	別府		炭酸水素塩泉	田の湯 2分	別府駅5分																		
	永石温泉	26-5789	南町2-2	6:30-22:30	100円	33.273096	131.503515		なし	small_onsen.jpg																市営温泉	別府		炭酸水素塩泉	永石温泉前 1分	別府駅12分																		
	芝居の湯	24-5320	上野口町29-13	11:00-21:00	270円　	33.2891001	131.4882586	火曜日	50台	small_onsen.jpg																市営温泉	別府		単純泉	野口原 1分	別府駅30分																		
	駅前高等温泉	21-0541	駅前町13-14	6:00-0:00	あつ湯、ぬる湯各200円	33.2790376	131.5019995		5台	small_onsen.jpg																外湯	別府		硫黄泉	駅前本町 1分	別府駅2分																		
	九日天温泉	21-1304	上田の湯町15-8	6:00-11:00|14:00-23:00	110円	33.278458	131.4955234		8台	small_onsen.jpg																共同温泉	別府		炭酸水素塩泉	田の湯 2分	別府駅6分																		
	寿温泉	なし	楠町11-15	13:00-22:00	100円	33.2763271	131.5053511	毎月10日25日	なし	small_onsen.jpg																共同温泉	別府		炭酸水素塩泉	流川2丁目 1分	別府駅10分																		
	紙屋温泉	24-3028	千代町8番の2	13:00-23:00	100円	33.2735713	131.5035794		4台	small_onsen.jpg																共同温泉	別府		炭酸水素塩泉	永石温泉前 2分	別府駅12分																		
	錦栄温泉	なし	光町20-2	6:30-10:00|15:00-22:30	100円	33.2746657	131.4966828	第1・2・3木曜日	なし	small_onsen.jpg																共同温泉	別府		単純泉	流川8丁目 10分	別府駅12分																		
